Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
S.19.01.21,C0110,R0100,Wcześniejsze lata,0
S.19.01.21,C0010,R0160,N-9,38 473
S.19.01.21,C0020,R0160,N-9,14 491
S.19.01.21,C0030,R0160,N-9,2 202
S.19.01.21,C0040,R0160,N-9,1 467
S.19.01.21,C0050,R0160,N-9,65
S.19.01.21,C0060,R0160,N-9,104
S.19.01.21,C0070,R0160,N-9,44
S.19.01.21,C0080,R0160,N-9,74
S.19.01.21,C0090,R0160,N-9,236
S.19.01.21,C0100,R0160,N-9,19
S.19.01.21,C0010,R0170,N-8,42 141
S.19.01.21,C0020,R0170,N-8,16 202
S.19.01.21,C0030,R0170,N-8,2 648
S.19.01.21,C0040,R0170,N-8,1 105
S.19.01.21,C0050,R0170,N-8,77
S.19.01.21,C0060,R0170,N-8,18
S.19.01.21,C0070,R0170,N-8,28
S.19.01.21,C0080,R0170,N-8,1
S.19.01.21,C0090,R0170,N-8,0
S.19.01.21,C0010,R0180,N-7,43 982
S.19.01.21,C0020,R0180,N-7,21 475
S.19.01.21,C0030,R0180,N-7,3 037
S.19.01.21,C0040,R0180,N-7,702
S.19.01.21,C0050,R0180,N-7,163
S.19.01.21,C0060,R0180,N-7,27
S.19.01.21,C0070,R0180,N-7,9
S.19.01.21,C0080,R0180,N-7,271
S.19.01.21,C0010,R0190,N-6,48 351
S.19.01.21,C0020,R0190,N-6,19 571
S.19.01.21,C0030,R0190,N-6,3 086
S.19.01.21,C0040,R0190,N-6,1 271
S.19.01.21,C0050,R0190,N-6,130
S.19.01.21,C0060,R0190,N-6,125
S.19.01.21,C0070,R0190,N-6,149
S.19.01.21,C0010,R0200,N-5,52 203
S.19.01.21,C0020,R0200,N-5,21 587
S.19.01.21,C0030,R0200,N-5,3 445
S.19.01.21,C0040,R0200,N-5,1 439
S.19.01.21,C0050,R0200,N-5,334
S.19.01.21,C0060,R0200,N-5,79
S.19.01.21,C0010,R0210,N-4,59 353
S.19.01.21,C0020,R0210,N-4,22 712
S.19.01.21,C0030,R0210,N-4,2 720
S.19.01.21,C0040,R0210,N-4,1 154
S.19.01.21,C0050,R0210,N-4,216
S.19.01.21,C0010,R0220,N-3,62 358
S.19.01.21,C0020,R0220,N-3,24 143
S.19.01.21,C0030,R0220,N-3,3 999
S.19.01.21,C0040,R0220,N-3,1 418
S.19.01.21,C0010,R0230,N-2,58 546
S.19.01.21,C0020,R0230,N-2,23 148
S.19.01.21,C0030,R0230,N-2,4 622
S.19.01.21,C0010,R0240,N-1,64 652
S.19.01.21,C0020,R0240,N-1,28 706
S.19.01.21,C0010,R0250,N,71 171
