Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Allianz,2023,S.02.01.02,C0010,R0030,Wartości niematerialne i prawne,0
Allianz,2023,S.02.01.02,C0010,R0040,Aktywa z tytułu odroczonego podatku dochodowego,0
Allianz,2023,S.02.01.02,C0010,R0050,Nadwyżka na funduszu świadczeń emerytalnych,0
Allianz,2023,S.02.01.02,C0010,R0060,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",7 950
Allianz,2023,S.02.01.02,C0010,R0070,"Lokaty (inne niż aktywa posiadane z tytułu ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",5 453 556
Allianz,2023,S.02.01.02,C0010,R0080,Nieruchomości (inne niż do użytku własnego),0
Allianz,2023,S.02.01.02,C0010,R0090,"Udziały w zakładach powiązanych, w tym udziały kapitałowe",1 195 400
Allianz,2023,S.02.01.02,C0010,R0100,Akcje i udziały,0
Allianz,2023,S.02.01.02,C0010,R0110,Akcje i udziały – notowane,0
Allianz,2023,S.02.01.02,C0010,R0120,Akcje i udziały – nienotowane,0
Allianz,2023,S.02.01.02,C0010,R0130,Obligacje,3 932 839
Allianz,2023,S.02.01.02,C0010,R0140,Obligacje państwowe,3 818 193
Allianz,2023,S.02.01.02,C0010,R0150,Obligacje korporacyjne,112 823
Allianz,2023,S.02.01.02,C0010,R0160,Strukturyzowane papiery wartościowe,1 822
Allianz,2023,S.02.01.02,C0010,R0170,Zabezpieczone papiery wartościowe,0
Allianz,2023,S.02.01.02,C0010,R0180,Przedsiębiorstwa zbiorowego inwestowania,213 790
Allianz,2023,S.02.01.02,C0010,R0190,Instrumenty pochodne,3 558
Allianz,2023,S.02.01.02,C0010,R0200,Depozyty inne niż ekwiwalenty środków pieniężnych,107 968
Allianz,2023,S.02.01.02,C0010,R0210,Pozostałe lokaty,0
Allianz,2023,S.02.01.02,C0010,R0220,"Aktywa posiadane z tytułu ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",11 521 981
Allianz,2023,S.02.01.02,C0010,R0230,Pożyczki i pożyczki zabezpieczone hipotecznie,771 510
Allianz,2023,S.02.01.02,C0010,R0240,Pożyczki pod zastaw polisy,0
Allianz,2023,S.02.01.02,C0010,R0250,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,0
Allianz,2023,S.02.01.02,C0010,R0260,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,771 510
Allianz,2023,S.02.01.02,C0010,R0270,Kwoty należne z umów reasekuracji z tytułu:,-14 432
Allianz,2023,S.02.01.02,C0010,R0280,Innych niż ubezpieczenia na życie i zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,-470
Allianz,2023,S.02.01.02,C0010,R0290,Innych niż ubezpieczenia na życie z wyłączeniem zdrowotnych,0
Allianz,2023,S.02.01.02,C0010,R0300,Zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,-470
Allianz,2023,S.02.01.02,C0010,R0310,"Na życie i zdrowotnych o charakterze ubezpieczeń na życie, z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-6 501
Allianz,2023,S.02.01.02,C0010,R0320,Zdrowotnych o charakterze ubezpieczeń na życie,-1 285
