Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Allianz,2023,S.19.01.21,C0110,R0100,Wcześniejsze lata,8
Allianz,2023,S.19.01.21,C0010,R0160,N-9,42 141
Allianz,2023,S.19.01.21,C0020,R0160,N-9,16 202
Allianz,2023,S.19.01.21,C0030,R0160,N-9,2 648
Allianz,2023,S.19.01.21,C0040,R0160,N-9,1 105
Allianz,2023,S.19.01.21,C0050,R0160,N-9,77
Allianz,2023,S.19.01.21,C0060,R0160,N-9,18
Allianz,2023,S.19.01.21,C0070,R0160,N-9,28
Allianz,2023,S.19.01.21,C0080,R0160,N-9,1
Allianz,2023,S.19.01.21,C0090,R0160,N-9,0
Allianz,2023,S.19.01.21,C0100,R0160,N-9,0
Allianz,2023,S.19.01.21,C0010,R0170,N-8,43 982
Allianz,2023,S.19.01.21,C0020,R0170,N-8,21 475
Allianz,2023,S.19.01.21,C0030,R0170,N-8,3 037
Allianz,2023,S.19.01.21,C0040,R0170,N-8,702
Allianz,2023,S.19.01.21,C0050,R0170,N-8,163
Allianz,2023,S.19.01.21,C0060,R0170,N-8,27
Allianz,2023,S.19.01.21,C0070,R0170,N-8,9
Allianz,2023,S.19.01.21,C0080,R0170,N-8,271
Allianz,2023,S.19.01.21,C0090,R0170,N-8,0
Allianz,2023,S.19.01.21,C0010,R0180,N-7,48 351
Allianz,2023,S.19.01.21,C0020,R0180,N-7,19 571
Allianz,2023,S.19.01.21,C0030,R0180,N-7,3 086
Allianz,2023,S.19.01.21,C0040,R0180,N-7,1 271
Allianz,2023,S.19.01.21,C0050,R0180,N-7,130
Allianz,2023,S.19.01.21,C0060,R0180,N-7,125
Allianz,2023,S.19.01.21,C0070,R0180,N-7,149
Allianz,2023,S.19.01.21,C0080,R0180,N-7,346
Allianz,2023,S.19.01.21,C0010,R0190,N-6,52 203
Allianz,2023,S.19.01.21,C0020,R0190,N-6,21 587
Allianz,2023,S.19.01.21,C0030,R0190,N-6,3 445
Allianz,2023,S.19.01.21,C0040,R0190,N-6,1 439
Allianz,2023,S.19.01.21,C0050,R0190,N-6,334
Allianz,2023,S.19.01.21,C0060,R0190,N-6,79
Allianz,2023,S.19.01.21,C0070,R0190,N-6,147
Allianz,2023,S.19.01.21,C0010,R0200,N-5,59 353
Allianz,2023,S.19.01.21,C0020,R0200,N-5,22 712
Allianz,2023,S.19.01.21,C0030,R0200,N-5,2 720
Allianz,2023,S.19.01.21,C0040,R0200,N-5,1 154
Allianz,2023,S.19.01.21,C0050,R0200,N-5,216
Allianz,2023,S.19.01.21,C0060,R0200,N-5,136
Allianz,2023,S.19.01.21,C0010,R0210,N-4,62 358
Allianz,2023,S.19.01.21,C0020,R0210,N-4,24 143
Allianz,2023,S.19.01.21,C0030,R0210,N-4,3 999
Allianz,2023,S.19.01.21,C0040,R0210,N-4,1 418
Allianz,2023,S.19.01.21,C0050,R0210,N-4,210
Allianz,2023,S.19.01.21,C0010,R0220,N-3,58 546
Allianz,2023,S.19.01.21,C0020,R0220,N-3,23 148
Allianz,2023,S.19.01.21,C0030,R0220,N-3,4 622
Allianz,2023,S.19.01.21,C0040,R0220,N-3,1 606
Allianz,2023,S.19.01.21,C0010,R0230,N-2,64 652
Allianz,2023,S.19.01.21,C0020,R0230,N-2,28 706
Allianz,2023,S.19.01.21,C0030,R0230,N-2,4 568
Allianz,2023,S.19.01.21,C0010,R0240,N-1,71 171
Allianz,2023,S.19.01.21,C0020,R0240,N-1,30 596
Allianz,2023,S.19.01.21,C0010,R0250,N,74 964
