Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
S.05.01.02,C0100,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0110,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,408 623
S.05.01.02,C0120,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,72 329
S.05.01.02,C0200,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,8 893 665
S.05.01.02,C0100,R0120,Brutto – reasekuracja czynna proporcjonalna,0
S.05.01.02,C0110,R0120,Brutto – reasekuracja czynna proporcjonalna,0
S.05.01.02,C0120,R0120,Brutto – reasekuracja czynna proporcjonalna,40 358
S.05.01.02,C0200,R0120,Brutto – reasekuracja czynna proporcjonalna,400 297
S.05.01.02,C0130,R0130,Brutto – reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0140,R0130,Brutto – reasekuracja czynna nieproporcjonalna,2 877
S.05.01.02,C0150,R0130,Brutto – reasekuracja czynna nieproporcjonalna,496
S.05.01.02,C0160,R0130,Brutto – reasekuracja czynna nieproporcjonalna,2 101
S.05.01.02,C0200,R0130,Brutto – reasekuracja czynna nieproporcjonalna,5 474
S.05.01.02,C0100,R0140,Udział zakładów reasekuracji,0
S.05.01.02,C0110,R0140,Udział zakładów reasekuracji,1 264
S.05.01.02,C0120,R0140,Udział zakładów reasekuracji,42 354
S.05.01.02,C0130,R0140,Udział zakładów reasekuracji,0
S.05.01.02,C0140,R0140,Udział zakładów reasekuracji,0
S.05.01.02,C0150,R0140,Udział zakładów reasekuracji,0
S.05.01.02,C0160,R0140,Udział zakładów reasekuracji,0
S.05.01.02,C0200,R0140,Udział zakładów reasekuracji,466 070
S.05.01.02,C0100,R0200,Netto,0
S.05.01.02,C0110,R0200,Netto,407 359
S.05.01.02,C0120,R0200,Netto,70 333
S.05.01.02,C0130,R0200,Netto,0
S.05.01.02,C0140,R0200,Netto,2 877
S.05.01.02,C0150,R0200,Netto,496
S.05.01.02,C0160,R0200,Netto,2 101
S.05.01.02,C0200,R0200,Netto,8 833 366
S.05.01.02,C0100,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0110,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,365 509
S.05.01.02,C0120,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,68 710
S.05.01.02,C0200,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,8 250 510
S.05.01.02,C0100,R0220,Brutto – reasekuracja czynna proporcjonalna,0
S.05.01.02,C0110,R0220,Brutto – reasekuracja czynna proporcjonalna,15
S.05.01.02,C0120,R0220,Brutto – reasekuracja czynna proporcjonalna,58 976
S.05.01.02,C0200,R0220,Brutto – reasekuracja czynna proporcjonalna,426 393
S.05.01.02,C0130,R0230,Brutto – reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0140,R0230,Brutto – reasekuracja czynna nieproporcjonalna,3 628
S.05.01.02,C0150,R0230,Brutto – reasekuracja czynna nieproporcjonalna,368
S.05.01.02,C0160,R0230,Brutto – reasekuracja czynna nieproporcjonalna,2 124
S.05.01.02,C0200,R0230,Brutto – reasekuracja czynna nieproporcjonalna,6 120
S.05.01.02,C0100,R0240,Udział zakładów reasekuracji,0
S.05.01.02,C0110,R0240,Udział zakładów reasekuracji,79
S.05.01.02,C0120,R0240,Udział zakładów reasekuracji,65 736
S.05.01.02,C0130,R0240,Udział zakładów reasekuracji,0
S.05.01.02,C0140,R0240,Udział zakładów reasekuracji,0
S.05.01.02,C0150,R0240,Udział zakładów reasekuracji,2
S.05.01.02,C0160,R0240,Udział zakładów reasekuracji,0
S.05.01.02,C0200,R0240,Udział zakładów reasekuracji,468 391
S.05.01.02,C0100,R0300,Netto,0
