Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Warta,2023,S.19.01.21,C0110,R0100,Wcześniejsze lata,21 626
Warta,2023,S.19.01.21,C0010,R0160,N-9,876 750
Warta,2023,S.19.01.21,C0020,R0160,N-9,477 614
Warta,2023,S.19.01.21,C0030,R0160,N-9,72 645
Warta,2023,S.19.01.21,C0040,R0160,N-9,119 912
Warta,2023,S.19.01.21,C0050,R0160,N-9,34 291
Warta,2023,S.19.01.21,C0060,R0160,N-9,21 065
Warta,2023,S.19.01.21,C0070,R0160,N-9,9 660
Warta,2023,S.19.01.21,C0080,R0160,N-9,8 186
Warta,2023,S.19.01.21,C0090,R0160,N-9,2 877
Warta,2023,S.19.01.21,C0100,R0160,N-9,2 931
Warta,2023,S.19.01.21,C0010,R0170,N-8,1 128 925
Warta,2023,S.19.01.21,C0020,R0170,N-8,641 193
Warta,2023,S.19.01.21,C0030,R0170,N-8,260 974
Warta,2023,S.19.01.21,C0040,R0170,N-8,80 371
Warta,2023,S.19.01.21,C0050,R0170,N-8,24 670
Warta,2023,S.19.01.21,C0060,R0170,N-8,34 113
Warta,2023,S.19.01.21,C0070,R0170,N-8,14 608
Warta,2023,S.19.01.21,C0080,R0170,N-8,6 527
Warta,2023,S.19.01.21,C0090,R0170,N-8,9 248
Warta,2023,S.19.01.21,C0010,R0180,N-7,1 172 231
Warta,2023,S.19.01.21,C0020,R0180,N-7,385 295
Warta,2023,S.19.01.21,C0030,R0180,N-7,87 151
Warta,2023,S.19.01.21,C0040,R0180,N-7,48 750
Warta,2023,S.19.01.21,C0050,R0180,N-7,35 426
Warta,2023,S.19.01.21,C0060,R0180,N-7,18 856
Warta,2023,S.19.01.21,C0070,R0180,N-7,14 070
Warta,2023,S.19.01.21,C0080,R0180,N-7,7 243
Warta,2023,S.19.01.21,C0010,R0190,N-6,1 396 694
Warta,2023,S.19.01.21,C0020,R0190,N-6,494 332
Warta,2023,S.19.01.21,C0030,R0190,N-6,129 748
Warta,2023,S.19.01.21,C0040,R0190,N-6,57 530
Warta,2023,S.19.01.21,C0050,R0190,N-6,22 372
Warta,2023,S.19.01.21,C0060,R0190,N-6,24 436
Warta,2023,S.19.01.21,C0070,R0190,N-6,27 709
Warta,2023,S.19.01.21,C0010,R0200,N-5,1 510 640
Warta,2023,S.19.01.21,C0020,R0200,N-5,500 579
Warta,2023,S.19.01.21,C0030,R0200,N-5,90 786
Warta,2023,S.19.01.21,C0040,R0200,N-5,50 174
Warta,2023,S.19.01.21,C0050,R0200,N-5,43 574
Warta,2023,S.19.01.21,C0060,R0200,N-5,25 187
Warta,2023,S.19.01.21,C0010,R0210,N-4,1 835 456
Warta,2023,S.19.01.21,C0020,R0210,N-4,548 941
Warta,2023,S.19.01.21,C0030,R0210,N-4,101 127
Warta,2023,S.19.01.21,C0040,R0210,N-4,70 317
Warta,2023,S.19.01.21,C0050,R0210,N-4,40 918
Warta,2023,S.19.01.21,C0010,R0220,N-3,1 830 565
Warta,2023,S.19.01.21,C0020,R0220,N-3,492 252
Warta,2023,S.19.01.21,C0030,R0220,N-3,88 942
Warta,2023,S.19.01.21,C0040,R0220,N-3,51 589
Warta,2023,S.19.01.21,C0010,R0230,N-2,2 272 123
Warta,2023,S.19.01.21,C0020,R0230,N-2,648 121
Warta,2023,S.19.01.21,C0030,R0230,N-2,123 272
Warta,2023,S.19.01.21,C0010,R0240,N-1,2 663 156
Warta,2023,S.19.01.21,C0020,R0240,N-1,845 534
Warta,2023,S.19.01.21,C0010,R0250,N,3 081 839
