Kod_S,Kod_C,Kod_R,Nazwa,Wartosc,rok,firma,description,code
S230101,C0010,R0010,Kapitał zakładowy (wraz z akcjami własnymi),118 631,2018,Allianz,,
S230101,C0020,R0010,Kapitał zakładowy (wraz z akcjami własnymi),118 631,2018,Allianz,,
S230101,C0040,R0010,Kapitał zakładowy (wraz z akcjami własnymi),0,2018,Allianz,,
S230101,C0010,R0030,Nadwy(cid:2)ka ze sprzeda(cid:2)y akcji powy(cid:2)ej ich warto(cid:1)ci nominalnej zwi(cid:4)zana z kapitałem zakładowym,69 735,2018,Allianz,,
S230101,C0020,R0030,Nadwy(cid:2)ka ze sprzeda(cid:2)y akcji powy(cid:2)ej ich warto(cid:1)ci nominalnej zwi(cid:4)zana z kapitałem zakładowym,69 735,2018,Allianz,,
S230101,C0040,R0030,Nadwy(cid:2)ka ze sprzeda(cid:2)y akcji powy(cid:2)ej ich warto(cid:1)ci nominalnej zwi(cid:4)zana z kapitałem zakładowym,0,2018,Allianz,,
S230101,C0010,R0040,"Kapitał zało(cid:2)ycielski, wkłady/składki członkowskie lub równowa(cid:2)na pozycja podstawowych (cid:1)rodków własnych w przypadku towarzystw ubezpiecze(cid:3) wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpiecze(cid:3) opartych na zasadzie wzajemno(cid:1)ci",0,2018,Allianz,,
S230101,C0020,R0040,"Kapitał zało(cid:2)ycielski, wkłady/składki członkowskie lub równowa(cid:2)na pozycja podstawowych (cid:1)rodków własnych w przypadku towarzystw ubezpiecze(cid:3) wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpiecze(cid:3) opartych na zasadzie wzajemno(cid:1)ci",0,2018,Allianz,,
S230101,C0040,R0040,"Kapitał zało(cid:2)ycielski, wkłady/składki członkowskie lub równowa(cid:2)na pozycja podstawowych (cid:1)rodków własnych w przypadku towarzystw ubezpiecze(cid:3) wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpiecze(cid:3) opartych na zasadzie wzajemno(cid:1)ci",0,2018,Allianz,,
S230101,C0010,R0050,"Podporz(cid:4)dkowane fundusze udziałowe/członkowskie w przypadku towarzystw ubezpiecze(cid:3) wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpiecze(cid:3) opartych na zasadzie wzajemno(cid:1)ci",0,2018,Allianz,,
S230101,C0030,R0050,"Podporz(cid:4)dkowane fundusze udziałowe/członkowskie w przypadku towarzystw ubezpiecze(cid:3) wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpiecze(cid:3) opartych na zasadzie wzajemno(cid:1)ci",0,2018,Allianz,,
S230101,C0040,R0050,"Podporz(cid:4)dkowane fundusze udziałowe/członkowskie w przypadku towarzystw ubezpiecze(cid:3) wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpiecze(cid:3) opartych na zasadzie wzajemno(cid:1)ci",0,2018,Allianz,,
S230101,C0050,R0050,"Podporz(cid:4)dkowane fundusze udziałowe/członkowskie w przypadku towarzystw ubezpiecze(cid:3) wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpiecze(cid:3) opartych na zasadzie wzajemno(cid:1)ci",0,2018,Allianz,,
S230101,C0010,R0070,Fundusze nadwy(cid:2)kowe,0,2018,Allianz,,
S230101,C0020,R0070,Fundusze nadwy(cid:2)kowe,0,2018,Allianz,,
S230101,C0010,R0090,Akcje uprzywilejowane,0,2018,Allianz,,
S230101,C0030,R0090,Akcje uprzywilejowane,0,2018,Allianz,,
S230101,C0040,R0090,Akcje uprzywilejowane,0,2018,Allianz,,
S230101,C0050,R0090,Akcje uprzywilejowane,0,2018,Allianz,,
S230101,C0010,R0110,Nadwy(cid:2)ka ze sprzeda(cid:2)y akcji powy(cid:2)ej ich warto(cid:1)ci nominalnej zwi(cid:4)zana z akcjami uprzywilejowanymi,0,2018,Allianz,,
S230101,C0030,R0110,Nadwy(cid:2)ka ze sprzeda(cid:2)y akcji powy(cid:2)ej ich warto(cid:1)ci nominalnej zwi(cid:4)zana z akcjami uprzywilejowanymi,0,2018,Allianz,,
