,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,22 207,150 264,0,2 620 541,1 780 885,36 575,1 361 119,355 477,168 257,1 186,244 709,69 479,,,,,6 810 698
1,Brutto – Przyjęta reasekuracja proporcjonalna,R0120,110 746,112 120,0,35 448,5 913,443,170 567,29 618,0,0,337,161 924,,,,,627 115
2,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0130,,,,,,,,,,,,,0,2 145,0,160,2 305
3,Udział zakładów reasekuracji,R0140,0,214,0,189 868,10 626,5 287,302 626,45 275,87 893,197,20,43 599,0,311,0,94,686 009
4,Netto,R0200,132 952,262 170,0,2 466 121,1 776 172,31 731,1 229 060,339 820,80 364,988,245 026,187 804,0,1 835,0,67,6 754 110
5,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,25 180,169 770,0,2 586 069,1 669 687,34 762,1 099 130,346 257,143 324,1 169,203 768,109 919,,,,,6 389 034
6,Brutto – Przyjęta reasekuracja proporcjonalna,R0220,75 468,77 021,0,40 450,4 689,475,141 246,22 364,0,0,357,115 118,,,,,477 188
7,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0230,,,,,,,,,,,,,0,1 807,0,159,1 966
8,Udział zakładów reasekuracji,R0240,0,901,0,187 394,10 093,4 631,307 510,38 958,77 727,349,206,47 554,0,157,0,93,675 573
9,Netto,R0300,100 648,245 890,0,2 439 125,1 664 283,30 605,932 867,329 663,65 596,819,203 919,177 483,0,1 651,0,66,6 192 615
10,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,8 269,18 616,0,1 408 867,1 114 666,15 435,409 155,172 797,40 589,220,124 368,2 218,,,,,3 315 198
11,Brutto – Przyjęta reasekuracja proporcjonalna,R0320,552,266,0,21 731,2 259,0,55 284,8 076,0,0,259,8 600,,,,,97 025
12,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0330,,,,,,,,,,,,,0,0,0,-2 452,-2 452
13,Udział zakładów reasekuracji,R0340,0,400,0,96 739,18 859,1 476,110 474,35 498,26 416,-1,13,-900,0,0,0,-1 500,287 475
14,Netto,R0400,8 821,18 482,0,1 333 858,1 098 066,13 958,353 964,145 374,14 173,221,124 613,11 717,0,0,0,-952,3 122 296
16,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0410,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
17,Brutto – Przyjęta reasekuracja proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
18,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0430,,,,,,,,,,,,,0,0,0,0,0
19,Udział zakładów reasekuracji,R0440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Netto,R0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Koszty poniesione,R0550,84 687,139 221,0,753 653,483 017,10 068,592 785,135 434,17 926,216,74 724,154 325,0,209,0,6,2 446 270
22,Pozostałe koszty,R1200,,,,,,,,,,,,,,,,,140 672
23,Koszty ogółem,R1300,,,,,,,,,,,,,,,,,2 586 942
