,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
0,Wcześniejsze lata,R0100,,,,,,,,,,
1,N–9,R0160,1 010 889,412 746,86 831,49 526,36 695,18 795,15 628,12 569,6 628,3 898
2,N–8,R0170,1 008 320,425 448,79 136,43 864,32 109,18 716,15 355,8 599,10 885,
3,N–7,R0180,1 272 012,617 320,153 990,73 935,31 113,20 239,12 081,10 568,,
4,N–6,R0190,1 309 551,505 198,96 413,71 448,43 828,25 460,18 833,,,
5,N–5,R0200,1 415 621,595 024,105 241,81 044,83 892,32 315,,,,
6,N–4,R0210,1 793 635,716 710,133 794,74 800,52 471,,,,,
7,N–3,R0220,2 001 547,840 454,136 599,57 655,,,,,,
8,N–2,R0230,1 898 877,643 378,128 359,,,,,,,
9,N–1,R0240,2 235 973,842 713,,,,,,,,
10,N,R0250,2 367 626,,,,,,,,,
