,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
0,Wcze(cid:286)niejsze lata,R0100,0,0,0,0,0,0,0,0,0,0
1,N-9,R0160,257 614,128 231,31 452,36 811,9 909,8 382,6 576,4 480,1 811,1 572
2,N-8,R0170,295 736,156 749,33 027,29 849,22 379,10 082,6 313,4 793,2 944,0
3,N-7,R0180,373 746,150 327,32 555,24 235,16 343,12 721,8 572,5 464,0,0
4,N-6,R0190,380 368,175 426,59 190,41 905,29 135,20 383,10 684,0,0,0
5,N-5,R0200,434 536,178 147,60 990,38 876,25 674,17 235,0,0,0,0
6,N-4,R0210,482 640,188 974,53 623,34 140,21 823,0,0,0,0,0
7,N-3,R0220,384 471,181 263,42 255,19 914,0,0,0,0,0,0
8,N-2,R0230,392 025,164 727,37 802,0,0,0,0,0,0,0
9,N-1,R0240,471 586,210 138,0,0,0,0,0,0,0,0
10,N,R0250,549 921,0,0,0,0,0,0,0,0,0
