,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0110,57 933,113 044,0,641 819,579 096,17 784,819 837,131 806,40 227,4 775,61 546,3 401,0,0,0,0,2 471 267
1,Brutto – reasekuracja czynna proporcjonalna,R0120,0,0,0,148,2 191,1 341,34 383,3 141,0,0,0,0,0,0,0,0,41 204
2,Brutto – reasekuracja czynna nieproporcjonalna,R0130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Udział zakładu reasekuracji,R0140,36 462,7 409,0,272 946,196 326,14 961,547 900,73 171,21 640,2,22 359,419,0,0,0,0,1 193 594
4,Netto,R0200,21 471,105 635,0,369 021,384 961,4 163,306 319,61 776,18 587,4 772,39 187,2 983,0,0,0,0,1 318 876
5,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0210,56 060,108 120,0,637 831,544 522,17 565,708 664,123 694,34 934,4 594,62 061,3 761,0,0,0,0,2 301 807
6,Brutto – reasekuracja czynna proporcjonalna,R0220,0,0,0,119,2 114,1 471,32 837,3 175,0,0,0,0,0,0,0,0,39 717
7,Brutto – reasekuracja czynna nieproporcjonalna,R0230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Udział zakładu reasekuracji,R0240,35 307,7 374,0,263 446,186 189,15 036,484 289,71 071,18 406,2,22 929,623,0,0,0,0,1 104 673
9,Netto,R0300,20 753,100 746,0,374 504,360 448,4 000,257 211,55 799,16 528,4 592,39 132,3 138,0,0,0,0,1 236 851
10,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0310,15 226,24 401,0,310 425,335 942,17 662,322 574,39 378,-6 978,-1 154,22 121,-312,0,0,0,0,1 079 285
11,Brutto – reasekuracja czynna proporcjonalna,R0320,0,0,0,38,918,175,8 521,455,-165,0,0,0,0,0,0,0,9 941
12,Brutto – reasekuracja czynna nieproporcjonalna,R0330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Udział zakładu reasekuracji,R0340,9 346,1 250,0,120 114,133 747,14 729,207 152,18 131,-8 501,0,9 987,-381,0,0,0,0,505 572
14,Netto,R0400,5 880,23 151,0,190 349,203 113,3 108,123 943,21 703,1 359,-1 154,12 134,69,0,0,0,0,583 655
15,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Brutto – reasekuracja czynna proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Brutto – reasekuracja czynna nieproporcjonalna,R0430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Udział zakładu reasekuracji,R0440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Netto,R0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Koszty poniesione,R0550,9 458,48 174,0,94 581,125 932,1 220,98 074,23 713,5 795,2 926,20 149,572,0,0,0,0,430 595
21,Pozostałe koszty,R1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32 996
22,Koszty ogółem,R1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463 591
