,,,C0010
0,Warto(cid:286)ci niematerialne i prawne,R0030,0
1,Aktywa z tytułu odroczonego podatku dochodowego,R0040,0
2,Nadwyżka na funduszu (cid:286)wiadczeń emerytalnych,R0050,0
3,"Nieruchomo(cid:286)ci, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",R0060,96 114
4,"Lokaty (inne niż aktywa posiadane z tytułu ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",R0070,3 970 816
5,Nieruchomo(cid:286)ci (inne niż do użytku własnego),R0080,0
6,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",R0090,249 096
7,Akcje i udziały,R0100,18 789
8,Akcje i udziały – notowane,R0110,122
9,Akcje i udziały – nienotowane,R0120,18 667
10,Obligacje,R0130,3 443 609
11,Obligacje państwowe,R0140,3 065 102
12,Obligacje korporacyjne,R0150,378 508
13,Strukturyzowane papiery warto(cid:286)ciowe,R0160,0
14,Zabezpieczone papiery warto(cid:286)ciowe,R0170,0
15,Przedsiębiorstwa zbiorowego inwestowania,R0180,182 575
16,Instrumenty pochodne,R0190,4 808
17,Depozyty inne niż ekwiwalenty (cid:286)rodków pieniężnych,R0200,71 939
18,Pozostałe lokaty,R0210,0
19,"Aktywa posiadane z tytułu ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0220,0
20,Pożyczki i pożyczki zabezpieczone hipotecznie,R0230,0
21,Pożyczki pod zastaw polisy,R0240,0
22,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,R0250,0
23,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,R0260,0
24,Kwoty należne z umów reasekuracji z tytułuŚ,R0270,1 245 124
25,Innych niż ubezpieczenia na życie i zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0280,1 036 185
26,Innych niż ubezpieczenia na życie z wyłączeniem zdrowotnych,R0290,1 013 292
27,Zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,22 893
28,"Na życie i zdrowotnych o charakterze ubezpieczeń na życie, z wyłączeniem zdrowotnych oraz ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0310,208 939
29,Zdrowotnych o charakterze ubezpieczeń na życie,R0320,0
