,Unnamed_0,Unnamed_1,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
0,Wcze(cid:286)niejsze lata,R0100,0,0,0,0,0,0,0,0,0,0
1,N-9,R0160,494 867,179 326,55 207,36 795,24 950,17 429,7 715,6 886,3 152,2 527
2,N-8,R0170,532 852,179 829,54 153,32 090,19 800,14 734,9 888,13 489,6 124,0
3,N-7,R0180,728 806,197 033,46 981,28 222,17 996,13 977,12 662,5 754,0,0
4,N-6,R0190,492 967,191 226,37 466,16 869,9 407,6 293,3 985,0,0,0
5,N-5,R0200,478 462,175 649,35 411,12 598,13 094,12 021,0,0,0,0
6,N-4,R0210,606 975,222 325,23 245,15 028,6 679,0,0,0,0,0
7,N-3,R0220,720 667,217 743,35 290,5 703,0,0,0,0,0,0
8,N-2,R0230,742 353,263 643,40 081,0,0,0,0,0,0,0
9,N-1,R0240,803 796,244 006,0,0,0,0,0,0,0,0
10,N,R0250,698 343,0,0,0,0,0,0,0,0,0
