Firma,Rok,Kod_S,Kod_C,Kod_R,Wartosc
Allianz,2018,S020102,C0010,R0030,0.0
Allianz,2018,S020102,C0010,R0040,0.0
Allianz,2018,S020102,C0010,R0050,0.0
Allianz,2018,S020102,C0010,R0060,95000.0
Allianz,2018,S020102,C0010,R0070,829912000.0
Allianz,2018,S020102,C0010,R0080,0.0
Allianz,2018,S020102,C0010,R0090,0.0
Allianz,2018,S020102,C0010,R0100,0.0
Allianz,2018,S020102,C0010,R0110,0.0
Allianz,2018,S020102,C0010,R0120,0.0
Allianz,2018,S020102,C0010,R0130,725738000.0
Allianz,2018,S020102,C0010,R0140,725738000.0
Allianz,2018,S020102,C0010,R0150,0.0
Allianz,2018,S020102,C0010,R0160,0.0
Allianz,2018,S020102,C0010,R0170,0.0
Allianz,2018,S020102,C0010,R0180,72858000.0
Allianz,2018,S020102,C0010,R0190,0.0
Allianz,2018,S020102,C0010,R0200,31316000.0
Allianz,2018,S020102,C0010,R0210,0.0
Allianz,2018,S020102,C0010,R0220,1728883000.0
Allianz,2018,S020102,C0010,R0230,0.0
Allianz,2018,S020102,C0010,R0240,0.0
Allianz,2018,S020102,C0010,R0250,0.0
Allianz,2018,S020102,C0010,R0260,0.0
Allianz,2018,S020102,C0010,R0270,-16797000.0
Allianz,2018,S020102,C0010,R0280,0.0
Allianz,2018,S020102,C0010,R0290,0.0
Allianz,2018,S020102,C0010,R0300,0.0
Allianz,2018,S020102,C0010,R0310,-15413000.0
Allianz,2018,S020102,C0010,R0320,0.0
Allianz,2018,S020102,C0010,R0330,-15413000.0
Allianz,2018,S020102,C0010,R0340,-1384000.0
Allianz,2018,S020102,C0010,R0350,0.0
Allianz,2018,S020102,C0010,R0360,2758000.0
Allianz,2018,S020102,C0010,R0370,0.0
Allianz,2018,S020102,C0010,R0380,19086000.0
Allianz,2018,S020102,C0010,R0390,0.0
Allianz,2018,S020102,C0010,R0400,0.0
Allianz,2018,S020102,C0010,R0410,1405000.0
Allianz,2018,S020102,C0010,R0420,2675000.0
Allianz,2018,S020102,C0010,R0520,0.0
Allianz,2018,S020102,C0010,R0530,0.0
Allianz,2018,S020102,C0010,R0540,0.0
Allianz,2018,S020102,C0010,R0550,0.0
Allianz,2018,S020102,C0010,R0560,0.0
Allianz,2018,S020102,C0010,R0570,0.0
Allianz,2018,S020102,C0010,R0580,0.0
Allianz,2018,S020102,C0010,R0590,0.0
Allianz,2018,S020102,C0010,R0600,127316000.0
Allianz,2018,S020102,C0010,R0610,0.0
Allianz,2018,S020102,C0010,R0620,0.0
Allianz,2018,S020102,C0010,R0630,0.0
Allianz,2018,S020102,C0010,R0640,0.0
Allianz,2018,S020102,C0010,R0650,127316000.0
Allianz,2018,S020102,C0010,R0660,0.0
Allianz,2018,S020102,C0010,R0670,80634000.0
Allianz,2018,S020102,C0010,R0680,46682000.0
Allianz,2018,S020102,C0010,R0690,1594912000.0
Allianz,2018,S020102,C0010,R0700,0.0
Allianz,2018,S020102,C0010,R0710,1558274000.0
Allianz,2018,S020102,C0010,R0720,36638000.0
Allianz,2018,S020102,C0010,R0740,0.0
Allianz,2018,S020102,C0010,R0750,29179000.0
Allianz,2018,S020102,C0010,R0760,120000.0
Allianz,2018,S020102,C0010,R0770,0.0
Allianz,2018,S020102,C0010,R0780,70537000.0
Allianz,2018,S020102,C0010,R0790,0.0
Allianz,2018,S020102,C0010,R0800,0.0
Allianz,2018,S020102,C0010,R0810,0.0
Allianz,2018,S020102,C0010,R0820,4345000.0
Allianz,2018,S020102,C0010,R0830,0.0
Allianz,2018,S020102,C0010,R0840,7045000.0
Allianz,2018,S020102,C0010,R0850,0.0
Allianz,2018,S020102,C0010,R0860,0.0
Allianz,2018,S020102,C0010,R0870,0.0
Allianz,2018,S020102,C0010,R0880,511000.0
Allianz,2018,S020102,C0010,R0900,1833964000.0
Allianz,2018,S020102,C0010,R1000,734954000.0
Allianz,2018,S050102,C0210,R1410,79698000.0
Allianz,2018,S050102,C0220,R1410,19348000.0
Allianz,2018,S050102,C0230,R1410,174252000.0
Allianz,2018,S050102,C0240,R1410,317817000.0
Allianz,2018,S050102,C0300,R1410,591116000.0
Allianz,2018,S050102,C0210,R1420,7024000.0
Allianz,2018,S050102,C0220,R1420,66000.0
Allianz,2018,S050102,C0230,R1420,587000.0
Allianz,2018,S050102,C0240,R1420,13534000.0
Allianz,2018,S050102,C0300,R1420,21211000.0
Allianz,2018,S050102,C0210,R1500,72674000.0
Allianz,2018,S050102,C0220,R1500,19283000.0
Allianz,2018,S050102,C0230,R1500,173665000.0
Allianz,2018,S050102,C0240,R1500,304283000.0
Allianz,2018,S050102,C0300,R1500,569000.0
Allianz,2018,S050102,C0210,R1510,79730000.0
Allianz,2018,S050102,C0220,R1510,19638000.0
Allianz,2018,S050102,C0230,R1510,175238000.0
Allianz,2018,S050102,C0240,R1510,317550000.0
Allianz,2018,S050102,C0300,R1510,592156000.0
Allianz,2018,S050102,C0210,R1520,7024000.0
Allianz,2018,S050102,C0220,R1520,66000.0
Allianz,2018,S050102,C0230,R1520,587000.0
Allianz,2018,S050102,C0240,R1520,13459000.0
Allianz,2018,S050102,C0300,R1520,21136000.0
Allianz,2018,S050102,C0210,R1600,72707000.0
Allianz,2018,S050102,C0220,R1600,19572000.0
Allianz,2018,S050102,C0230,R1600,174650000.0
Allianz,2018,S050102,C0240,R1600,304091000.0
Allianz,2018,S050102,C0300,R1600,571020000.0
Allianz,2018,S050102,C0210,R1610,53145000.0
Allianz,2018,S050102,C0220,R1610,28103000.0
Allianz,2018,S050102,C0230,R1610,308223000.0
Allianz,2018,S050102,C0240,R1610,137005000.0
Allianz,2018,S050102,C0300,R1610,526477000.0
Allianz,2018,S050102,C0210,R1620,3985000.0
Allianz,2018,S050102,C0220,R1620,0.0
Allianz,2018,S050102,C0230,R1620,0.0
Allianz,2018,S050102,C0240,R1620,2938000.0
Allianz,2018,S050102,C0300,R1620,6924000.0
Allianz,2018,S050102,C0210,R1700,49160000.0
Allianz,2018,S050102,C0220,R1700,28103000.0
Allianz,2018,S050102,C0230,R1700,308223000.0
Allianz,2018,S050102,C0240,R1700,134067000.0
Allianz,2018,S050102,C0300,R1700,519553000.0
Allianz,2018,S050102,C0210,R1710,0.0
Allianz,2018,S050102,C0220,R1710,8992000.0
Allianz,2018,S050102,C0230,R1710,309188000.0
Allianz,2018,S050102,C0240,R1710,-6486000.0
Allianz,2018,S050102,C0300,R1710,311695000.0
Allianz,2018,S050102,C0240,R1720,531000.0
Allianz,2018,S050102,C0300,R1720,531000.0
Allianz,2018,S050102,C0220,R1800,8992000.0
Allianz,2018,S050102,C0230,R1800,309188000.0
Allianz,2018,S050102,C0240,R1800,-7016000.0
Allianz,2018,S050102,C0300,R1800,311164000.0
Allianz,2018,S050102,C0210,R1900,23841000.0
Allianz,2018,S050102,C0220,R1900,4187000.0
Allianz,2018,S050102,C0230,R1900,62473000.0
Allianz,2018,S050102,C0240,R1900,124143000.0
Allianz,2018,S050102,C0300,R1900,214644000.0
Allianz,2018,S050102,C0300,R2500,4169000.0
Allianz,2018,S050102,C0150,R1410,591116000.0
Allianz,2018,S050102,C0160,R1410,591116000.0
Allianz,2018,S050102,C0150,R1420,21211000.0
Allianz,2018,S050102,C0160,R1420,21211000.0
Allianz,2018,S050102,C0150,R1500,569905000.0
Allianz,2018,S050102,C0160,R1500,569905000.0
Allianz,2018,S050102,C0150,R1510,592156000.0
Allianz,2018,S050102,C0160,R1510,592156000.0
Allianz,2018,S050102,C0150,R1520,21136000.0
Allianz,2018,S050102,C0160,R1520,21136000.0
Allianz,2018,S050102,C0150,R1600,571020000.0
Allianz,2018,S050102,C0160,R1600,571020000.0
Allianz,2018,S050102,C0150,R1610,526477000.0
Allianz,2018,S050102,C0160,R1610,526477000.0
Allianz,2018,S050102,C0150,R1620,6924000.0
Allianz,2018,S050102,C0160,R1620,6924000.0
Allianz,2018,S050102,C0150,R1700,519553000.0
Allianz,2018,S050102,C0160,R1700,519553000.0
Allianz,2018,S050102,C0150,R1710,311695000.0
Allianz,2018,S050102,C0160,R1710,311695000.0
Allianz,2018,S050102,C0150,R1720,531000.0
Allianz,2018,S050102,C0160,R1720,531000.0
Allianz,2018,S050102,C0150,R1800,311164000.0
Allianz,2018,S050102,C0160,R1800,311164000.0
Allianz,2018,S050102,C0150,R1900,214644000.0
Allianz,2018,S050102,C0160,R1900,214644000.0
Allianz,2018,S050102,C0160,R2500,4169000.0
Allianz,2018,S230101,C0010,R0010,118631000.0
Allianz,2018,S230101,C0020,R0010,118631000.0
Allianz,2018,S230101,C0040,R0010,0.0
Allianz,2018,S230101,C0010,R0030,69735000.0
Allianz,2018,S230101,C0020,R0030,69735000.0
Allianz,2018,S230101,C0040,R0030,0.0
Allianz,2018,S230101,C0010,R0040,0.0
